tunizi;tunisian_arabic;english_translation;sentiment
shnowa taamel taw?;شنوا تعمل توا؟; What are you doing now?;NEUTRAL
shneya tekel ?;شنيا تأكل؟; What are you eating?;NEUTRAL
fesh takra ?;فاش تقرأ؟; What are you studying?;NEUTRAL
nheb nemshi nhajjem;نحب نمشي نحجم; I want to go shave;NEUTRAL
el padel paddeli hyeti;البادل، بدلي حياتي; Padel changed my life;POSITIVE
el padel padalli 7yeti;البادل، بدلي حياتي; Padel changed my life;POSITIVE
Barket sidi mehrez;بركة سيدي محرز; The blessing of to Sir Mehrez;POSITIVE
shoufli 7all;شوفلي حل; Find me a solution;NEUTRAL
allah yar7am essbou3i;الله يرحم السبوعي; Rest in peace Sbouai
Rabi yfarej aliha;ربي يفرج عليها; May God grant you relief;POSITIVE
Walet a7la;ولات أحلا; She has become prettier;POSITIVE
Rabbi ifarrej karbha;ربي يفرج كربها; May God grant you relief;POSITIVE
Kahaw tounsi hetheka howa mokhou;أكهو التونسي هذاك هو مخو; That is the Thinking of Tunisians;NEGATIVE
ydaber fi rasou;يكبر في راسو; He is being stubborn;NEGATIVE
malla la3b;ملا لعب; What a situation!;NEGATIVE
ya 7assra win kona enabro 3lih 3al 5sara;يا حسرة وين كنا نبروا عليه على الخسارة; I remember when we were making jokes about him losing;NEGATIVE
hadha stage el tinin;هذا ستاج التنين; This is level god;NEUTRAL
Inchalh yarabi;إنشاء الله يا ربي; God willing, O Lord;POSITIVE
nchalah raby ynajheq ya ruhy;إنشاء الله ربي ينجحك يا روحي; God grand you success my dear;POSITIVE
Rabi ynajih ness il koll;ربي ينجح الناس الكل; God grand success to everyone;POSITIVE
blh a3touhom 7akhom rw yalaabou b esm touns;بالله أعطوهم حقهم راهو يلعبوا بإسم تونس; Please give them their rights, they are presenting tunisia;POSITIVE
Mfmch i5tsasat tb3a technique;  ما فماش إختصاصات تابعة التاكنيك; There is no specialities related to the technical field;NEUTRAL
Site mazel msaker?; السيت مسكر؟; Is the website down?;NEUTRAL
Esalouna a7na eddof3a 7 kifeh n3aniw 7it 3amnewel mafammach stage; أسألونا أحنا الدفعة 7 كيفاش نعانيو خاطر عمناول مافماش ستاج; Ask us — the 7th graduating class — how we’re struggling because we didn’t have an internship last year;NEGATIVE
Rodbalkom tsallmou fi 7a9kom wallah bach t3aniw l3am ejjay barrrcha;  ردوا بالكم تسلموا في حقكم والله باش تعانيو العام الجاي برشا; Don't give up on your rights, I swear you will struggle a lot next year;NEGATIVE
Dawer lmotfa9ed ghir barka mat9oulouch ma7echtnech bmotfa9ed ba3d hhhh; دور المتفقد غير بركة ما تقولوش ماحاشتناش بمتفقد بعد ههه; Thats the role of the inspector, don't tell me we don't need one late haha;NEGATIVE
Wallah chay ibaki; والله شيئ يبكي; I swear that makes you cry;NEGATIVE
kont 3atba a3lehom hhh; كنت عتبة عليهم ههه; I brought them bad luck;NEGATIVE
Amsit cheda; أمسط شدة; The most annoying problem;NEGATIVE
Man3adouch hana m3atlin; ما نعديوش هانا معطلين; We are not having exams, we are jobless;NEUTRAL
w tabda meshy l tayara; و تبدا ماشي للطيارة; And you're going to the airport;NEUTRAL
wenek fi taswira?; وينك في التصويرة؟; Who are you in the picture?;NEUTRAL
Mela a7na nemchiw fi taxi; مالا أحنا نمشيو في تاكسي; We’ll take a taxi instead;NEUTRAL
Raw fama 197 dawla donc efhem fech t’habbet; راهو فما 197 دولة دونك أفهم فاش تهبط; There are 197 countries. So, ensure the information you are sharing is accurate;NEGATIVE
motna mouten b sa3ada; متنا موتان بالسعادة; We are dying of happiness;POSITIVE
essa3ada t9atter w na7na nlemmou; السعادة تقطر و نحنا نلموا; We’re beyond happy!;POSITIVE
Akthr m zhaa mn 8adyy; أكثر من الزهى من غادي; We’re bursting with joy!;POSITIVE
le sa3iiida le hafseeyaa; لا سعيدة لا حفصية; We are not happy;NEGATIVE
Nba9b9ou f s3ada; نبقبقوا في السعادة; We couldn’t be happier!;POSITIVE
Bsara7a bch t7sdouna 3la far7tna; بصراحة باش تحسدونا على فرحتنا; Honestly, you might envy us for how happy we are.;POSITIVE
Kima 9al lekhr chikhaa men hnee l ghaadi; كيما قال الآخر شيخا من هنا إلى غادي; Like the man said, we’re ecstatic!;POSITIVE
